NH4inf,FA,FNA,Day,O2,pH,HRT,Temperature,Candidatus Kuenenia,Candidatus Brocadia,AnAOB,AOB,NOB,NLR,NRR
59.6,0.44,0,71,0.7,7.2,18.79,19.7,0,0.37,0.37,1.68,1.72,0.08,0.07
49.57,0.23,0,129,0.7,7.2,20.66,13.7,0,0.29,0.29,1.38,2.01,0.06,0.05
354.56,19.97,0.94,50,0.1,7.75,24,31,0,2.2,2.2,33.11,0.71,0.35,0.28
393.36,22.15,0.82,125,0.1,7.75,20,31,0,22.7,22.7,23.71,1,0.47,0.37
418.11,23.55,1.06,125,0.1,7.75,12,31,0,34.4,34.4,1,0.8,0.84,0.71
46.9,0.51,0.23,27,0.8,7.2,12,25,0.03,0.93,0.96,7.7,2.17,0.09,0.08
52.22,0.57,0.05,46,0.8,7.2,12,25,0.03,9.02,9.05,6.53,11.82,0.1,0.07
42.11,0.65,0.29,126,0.8,7.2,16,30,0.03,1.24,1.27,3.11,3.11,0.06,0.02
51.87,0.8,0.04,188,0.8,7.2,16,30,0.03,13.38,13.41,9.65,14.62,0.08,0.05
55.74,0.86,3.2,264,1.5,7.2,16,30,0.03,0.62,0.65,8.71,2.83,0.08,0.04
50.05,0.77,2.2,290,1.5,7.2,16,30,1.86,6.53,8.39,20.23,1.58,0.08,0.03
43.27,0.47,0.18,423,0.8,7.2,12,25,0.03,8.4,8.43,12.44,3.42,0.09,0.08
51.56,2.18,0.19,75,0.55,7.65,5.7,30,0,0.77,0.77,0.33,4.22,0.22,0.06
66.03,2.79,0.11,92,2.5,7.65,6.42,30,0,0.25,0.25,1.49,16.54,0.25,0.04
312.5,34.1,0.29,154,0.05,8.24,6,25,24.3,0,24.3,17.82,0,1.25,1.03
500,37.99,0.42,224,0.05,8.07,6,25,26.03,0,26.03,15.24,0,2,1.27
793.57,135.92,0.3,21,0.09,8.43,15,26,29.61,0.13,29.74,17.84,1.1,1.27,1.03
918.9,90.43,0.72,51,0.08,8.16,15,26,22.73,0.11,22.84,15.53,0.34,1.47,1.15
1072.84,245.28,0.15,66,0.27,8.58,15,26,17.07,0.12,17.19,14.42,0.1,1.72,1.49
912.09,108.4,0.75,85,0.02,8.25,15,26,15.19,0.07,15.26,15.05,0.04,1.46,0.75
864.41,123.6,0.61,93,0.02,8.34,15,26,13.98,0.02,14,19.65,0.01,1.38,1.01
50,1.28,0.77,175,0.25,7.58,3,25,5.44,0,5.44,0.59,0.67,0.4,0.26
50,1.28,0.31,348,0.5,7.58,3,25,13.22,0,13.22,1.2,0.94,0.4,0.35
